County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
richland county,il,44.8,43.0,17159
wayne county,il,37.7,36.2,17191
menard county,il,54.2,40.3,17129
pulaski county,il,38,31.9,17153
scott county,il,39.7,40.4,17171
livingston county,il,48.5,42.6,17105
jefferson county,il,43.8,38.4,17081
moultrie county,il,41.1,40.9,17139
carroll county,il,60,37.7,17015
logan county,il,51.8,36.0,17107
cass county,il,57,33.5,17017
monroe county,il,58.5,40.8,17133
calhoun county,il,43.7,37.1,17013
bureau county,il,54,41.7,17011
greene county,il,38.3,34.0,17061
johnson county,il,48.9,36.0,17087
wabash county,il,45.6,37.6,17185
madison county,il,58.1,37.9,17119
knox county,il,55.6,42.8,17095
bond county,il,51.5,35.3,17005
randolph county,il,49.9,33.8,17157
crawford county,il,46.9,37.6,17033
union county,il,53.5,39.7,17181
macon county,il,50.4,37.8,17115
alexander county,il,28.8,32.3,17003
pike county,il,38.8,35.9,17149
williamson county,il,52.5,36.9,17199
mcdonough county,il,46,42.1,17109
fayette county,il,33.8,35.4,17051
hardin county,il,38.1,39.4,17069
edgar county,il,45.5,38.1,17045
washington county,il,55.2,39.3,17189
fulton county,il,54.6,42.1,17057
macoupin county,il,52.2,37.6,17117
de witt county,il,50.3,39.1,17039
boone county,il,57.5,38.8,17007
effingham county,il,46.3,39.5,17049
cumberland county,il,37.2,33.2,17035
mchenry county,il,63.2,39.1,17111
henderson county,il,40.9,38.6,17071
rock island county,il,55.7,34.5,17161
stark county,il,50.1,44.7,17175
jo daviess county,il,74.6,41.2,17085
whiteside county,il,55.1,40.0,17195
winnebago county,il,54.5,41.2,17201
clinton county,il,54.2,35.4,17027
stephenson county,il,57.3,44.8,17177
clark county,il,46,41.2,17023
grundy county,il,54,36.4,17063
brown county,il,49.7,37.9,17009
christian county,il,45.5,34.7,17021
hamilton county,il,34.9,38.5,17065
vermilion county,il,43.3,36.8,17183
iroquois county,il,47.6,40.6,17075
adams county,il,50.8,36.8,17001
mclean county,il,60.7,40.4,17113
jasper county,il,40.3,41.4,17079
marion county,il,42.8,39.1,17121
putnam county,il,54.3,47.0,17155
champaign county,il,61.5,44.3,17019
peoria county,il,58.1,41.7,17143
marshall county,il,53.9,44.9,17123
douglas county,il,45.6,35.8,17041
mason county,il,51,39.2,17125
will county,il,63.3,37.7,17197
lake county,il,73.5,37.2,17097
pope county,il,31.8,36.6,17151
henry county,il,56,42.2,17073
massac county,il,38,33.5,17127
mercer county,il,55.8,42.8,17131
sangamon county,il,61.7,44.1,17167
edwards county,il,37.4,37.4,17047
lee county,il,56.7,44.5,17103
shelby county,il,39.8,40.4,17173
gallatin county,il,51.1,37.4,17059
montgomery county,il,48.9,39.1,17135
saline county,il,45.7,39.4,17165
hancock county,il,45.5,31.1,17067
